iter	Passed	Remaining
0	55	54954
1	64	31951
2	72	24172
3	82	20540
4	89	17745
5	96	16045
6	103	14654
7	110	13740
8	119	13210
9	129	12785
10	137	12391
11	147	12148
12	157	11941
13	166	11747
14	176	11567
15	185	11383
16	195	11282
17	204	11131
18	212	10964
19	220	10785
20	229	10696
21	238	10622
22	248	10553
23	257	10480
24	264	10332
25	270	10117
26	277	9992
27	282	9823
28	289	9688
29	295	9566
30	309	9660
31	318	9647
32	328	9633
33	338	9609
34	346	9563
35	357	9562
36	366	9548
37	377	9548
38	385	9499
39	394	9463
40	402	9421
41	411	9380
42	419	9338
43	427	9288
44	435	9250
45	445	9236
46	454	9206
47	462	9165
48	470	9133
49	479	9119
50	488	9092
51	496	9050
52	504	9017
53	513	8997
54	522	8977
55	532	8972
56	541	8965
57	546	8881
58	552	8812
59	559	8762
60	566	8726
61	573	8671
62	582	8656
63	591	8649
64	601	8648
65	610	8645
66	620	8639
67	630	8637
68	638	8616
69	648	8611
70	657	8601
71	667	8597
72	676	8593
73	685	8584
74	696	8592
75	706	8591
76	715	8574
77	724	8564
78	734	8566
79	744	8558
80	753	8547
81	762	8531
82	772	8535
83	781	8522
84	790	8513
85	800	8509
86	810	8508
87	820	8502
88	830	8500
89	840	8494
90	848	8479
91	857	8467
92	867	8462
93	876	8452
94	886	8444
95	896	8441
96	906	8434
97	916	8431
98	925	8423
99	935	8416
100	944	8408
101	954	8403
102	965	8403
103	974	8395
104	984	8392
105	994	8383
106	1002	8370
107	1012	8366
108	1022	8356
109	1032	8351
110	1042	8348
111	1052	8344
112	1061	8336
113	1071	8325
114	1080	8316
115	1090	8307
116	1100	8303
117	1109	8291
118	1119	8285
119	1128	8276
120	1138	8269
121	1148	8263
122	1157	8253
123	1166	8241
124	1176	8238
125	1186	8231
126	1196	8222
127	1205	8214
128	1215	8207
129	1224	8192
130	1233	8181
131	1243	8176
132	1252	8161
133	1260	8147
134	1270	8143
135	1280	8137
136	1290	8126
137	1298	8113
138	1307	8100
139	1316	8087
140	1325	8075
141	1335	8069
142	1345	8062
143	1355	8056
144	1364	8047
145	1374	8042
146	1385	8039
147	1395	8032
148	1405	8026
149	1414	8017
150	1424	8007
151	1433	7995
152	1443	7988
153	1452	7981
154	1463	7976
155	1473	7973
156	1483	7968
157	1493	7959
158	1503	7954
159	1513	7945
160	1523	7940
161	1533	7932
162	1543	7924
163	1552	7912
164	1561	7903
165	1571	7897
166	1580	7885
167	1591	7879
168	1600	7869
169	1609	7855
170	1618	7844
171	1628	7840
172	1638	7831
173	1647	7821
174	1658	7818
175	1669	7815
176	1678	7805
177	1689	7801
178	1699	7793
179	1709	7786
180	1718	7777
181	1728	7770
182	1737	7757
183	1746	7745
184	1756	7737
185	1765	7725
186	1774	7716
187	1785	7711
188	1795	7702
189	1805	7695
190	1815	7688
191	1825	7681
192	1835	7673
193	1845	7666
194	1855	7658
195	1864	7646
196	1873	7637
197	1884	7633
198	1893	7622
199	1903	7615
200	1913	7607
201	1923	7597
202	1933	7590
203	1943	7584
204	1953	7575
205	1963	7569
206	1974	7562
207	1985	7558
208	1994	7549
209	2003	7536
210	2013	7528
211	2023	7520
212	2032	7510
213	2041	7499
214	2050	7486
215	2059	7475
216	2068	7465
217	2077	7453
218	2086	7441
219	2095	7430
220	2106	7424
221	2115	7415
222	2125	7404
223	2135	7399
224	2145	7391
225	2155	7381
226	2164	7371
227	2174	7361
228	2183	7352
229	2193	7342
230	2204	7339
231	2215	7333
232	2226	7328
233	2237	7323
234	2247	7317
235	2257	7308
236	2267	7300
237	2277	7292
238	2287	7283
239	2297	7276
240	2307	7268
241	2317	7259
242	2327	7249
243	2337	7240
244	2347	7234
245	2357	7224
246	2366	7215
247	2375	7204
248	2386	7196
249	2395	7186
250	2405	7177
251	2414	7168
252	2423	7156
253	2433	7147
254	2442	7137
255	2452	7127
256	2462	7118
257	2472	7109
258	2481	7099
259	2490	7089
260	2501	7082
261	2511	7074
262	2520	7063
263	2530	7053
264	2539	7043
265	2549	7035
266	2559	7025
267	2568	7015
268	2578	7007
269	2586	6994
270	2595	6982
271	2604	6971
272	2615	6964
273	2624	6954
274	2635	6948
275	2645	6940
276	2655	6931
277	2665	6923
278	2675	6913
279	2684	6902
280	2693	6892
281	2703	6882
282	2712	6873
283	2723	6865
284	2733	6858
285	2743	6849
286	2753	6839
287	2763	6831
288	2772	6820
289	2782	6812
290	2792	6803
291	2800	6791
292	2809	6780
293	2819	6770
294	2829	6762
295	2839	6754
296	2850	6746
297	2860	6738
298	2871	6731
299	2880	6722
300	2891	6714
301	2901	6706
302	2910	6695
303	2920	6686
304	2931	6679
305	2941	6670
306	2950	6659
307	2959	6648
308	2967	6637
309	2976	6625
310	2985	6614
311	2996	6607
312	3006	6599
313	3015	6588
314	3025	6578
315	3035	6569
316	3044	6559
317	3055	6552
318	3065	6544
319	3076	6536
320	3085	6527
321	3095	6518
322	3104	6507
323	3114	6497
324	3123	6488
325	3133	6478
326	3143	6469
327	3153	6460
328	3162	6450
329	3172	6441
330	3182	6432
331	3192	6424
332	3203	6415
333	3212	6405
334	3222	6396
335	3232	6387
336	3241	6377
337	3251	6368
338	3260	6358
339	3270	6349
340	3280	6338
341	3289	6329
342	3299	6320
343	3310	6312
344	3319	6303
345	3330	6294
346	3339	6285
347	3349	6275
348	3358	6264
349	3367	6254
350	3376	6243
351	3387	6235
352	3396	6225
353	3406	6216
354	3417	6208
355	3426	6198
356	3436	6190
357	3446	6179
358	3455	6170
359	3465	6160
360	3475	6151
361	3485	6142
362	3494	6132
363	3505	6124
364	3515	6116
365	3525	6107
366	3536	6099
367	3545	6088
368	3554	6078
369	3565	6070
370	3575	6061
371	3584	6051
372	3594	6042
373	3605	6034
374	3614	6024
375	3625	6016
376	3636	6009
377	3646	5999
378	3655	5989
379	3665	5981
380	3675	5971
381	3685	5962
382	3695	5953
383	3706	5945
384	3716	5937
385	3726	5928
386	3736	5918
387	3745	5907
388	3754	5896
389	3764	5887
390	3774	5878
391	3784	5869
392	3793	5859
393	3804	5850
394	3812	5840
395	3822	5830
396	3833	5822
397	3843	5814
398	3853	5804
399	3863	5795
400	3872	5784
401	3883	5777
402	3893	5767
403	3902	5757
404	3912	5747
405	3922	5738
406	3931	5728
407	3940	5718
408	3950	5708
409	3959	5697
410	3969	5687
411	3979	5679
412	3989	5670
413	3999	5660
414	4009	5652
415	4019	5642
416	4028	5632
417	4037	5621
418	4046	5610
419	4056	5601
420	4065	5591
421	4074	5580
422	4084	5570
423	4092	5560
424	4101	5549
425	4111	5539
426	4121	5530
427	4131	5520
428	4140	5510
429	4150	5501
430	4160	5492
431	4170	5482
432	4180	5474
433	4190	5464
434	4200	5455
435	4210	5446
436	4219	5436
437	4229	5426
438	4238	5416
439	4248	5407
440	4257	5397
441	4267	5387
442	4277	5378
443	4287	5368
444	4298	5360
445	4308	5351
446	4319	5343
447	4329	5334
448	4339	5325
449	4349	5316
450	4360	5307
451	4370	5298
452	4380	5289
453	4389	5279
454	4399	5269
455	4409	5260
456	4419	5251
457	4429	5242
458	4439	5232
459	4449	5223
460	4459	5214
461	4469	5204
462	4477	5193
463	4487	5183
464	4497	5174
465	4506	5164
466	4516	5154
467	4526	5145
468	4536	5135
469	4545	5126
470	4555	5116
471	4566	5107
472	4575	5098
473	4586	5089
474	4596	5079
475	4605	5070
476	4615	5060
477	4624	5050
478	4634	5041
479	4644	5031
480	4653	5020
481	4663	5012
482	4673	5002
483	4682	4992
484	4692	4982
485	4702	4973
486	4713	4964
487	4722	4954
488	4731	4944
489	4740	4934
490	4749	4923
491	4759	4913
492	4768	4904
493	4778	4894
494	4788	4885
495	4797	4874
496	4806	4864
497	4816	4855
498	4826	4845
499	4836	4836
500	4845	4826
501	4855	4816
502	4864	4806
503	4875	4797
504	4884	4788
505	4894	4778
506	4905	4770
507	4915	4761
508	4925	4751
509	4936	4742
510	4945	4732
511	4956	4723
512	4966	4714
513	4976	4705
514	4985	4695
515	4995	4685
516	5005	4676
517	5015	4667
518	5025	4657
519	5035	4648
520	5045	4639
521	5055	4629
522	5066	4620
523	5075	4610
524	5084	4600
525	5094	4590
526	5104	4581
527	5113	4571
528	5123	4561
529	5132	4551
530	5142	4542
531	5153	4533
532	5162	4523
533	5172	4514
534	5183	4505
535	5193	4496
536	5203	4486
537	5213	4477
538	5223	4467
539	5232	4457
540	5240	4446
541	5249	4436
542	5259	4426
543	5269	4416
544	5278	4406
545	5288	4397
546	5300	4389
547	5310	4380
548	5320	4370
549	5330	4361
550	5339	4351
551	5349	4341
552	5359	4332
553	5369	4322
554	5378	4312
555	5386	4301
556	5396	4291
557	5406	4282
558	5416	4273
559	5425	4263
560	5435	4253
561	5445	4244
562	5455	4234
563	5465	4224
564	5474	4215
565	5484	4205
566	5493	4194
567	5503	4185
568	5512	4175
569	5522	4166
570	5533	4157
571	5543	4147
572	5552	4137
573	5561	4127
574	5571	4117
575	5580	4108
576	5590	4098
577	5599	4088
578	5609	4078
579	5620	4069
580	5629	4060
581	5639	4050
582	5649	4040
583	5658	4030
584	5669	4021
585	5679	4012
586	5688	4002
587	5698	3992
588	5708	3983
589	5718	3973
590	5728	3964
591	5739	3955
592	5749	3945
593	5758	3936
594	5769	3927
595	5780	3918
596	5790	3908
597	5799	3898
598	5809	3889
599	5819	3879
600	5829	3870
601	5839	3860
602	5848	3850
603	5858	3841
604	5869	3832
605	5878	3822
606	5889	3813
607	5898	3803
608	5909	3794
609	5919	3784
610	5929	3775
611	5939	3765
612	5948	3755
613	5957	3745
614	5967	3735
615	5977	3726
616	5986	3716
617	5996	3706
618	6006	3697
619	6016	3687
620	6027	3678
621	6036	3668
622	6046	3658
623	6055	3649
624	6065	3639
625	6075	3629
626	6085	3620
627	6095	3610
628	6105	3601
629	6114	3591
630	6125	3581
631	6135	3572
632	6145	3563
633	6156	3553
634	6164	3543
635	6174	3533
636	6184	3524
637	6193	3514
638	6203	3504
639	6213	3494
640	6223	3485
641	6232	3475
642	6242	3465
643	6251	3455
644	6261	3446
645	6270	3436
646	6281	3427
647	6291	3417
648	6302	3408
649	6311	3398
650	6321	3388
651	6330	3379
652	6341	3369
653	6351	3360
654	6360	3350
655	6370	3340
656	6379	3330
657	6389	3321
658	6400	3311
659	6410	3302
660	6420	3292
661	6430	3283
662	6440	3273
663	6450	3264
664	6461	3254
665	6471	3245
666	6481	3235
667	6491	3226
668	6500	3216
669	6510	3206
670	6520	3197
671	6530	3187
672	6540	3177
673	6548	3167
674	6558	3157
675	6567	3147
676	6578	3138
677	6587	3128
678	6599	3119
679	6608	3109
680	6619	3100
681	6628	3090
682	6638	3081
683	6648	3071
684	6657	3061
685	6667	3051
686	6677	3042
687	6687	3032
688	6696	3022
689	6707	3013
690	6717	3003
691	6727	2994
692	6738	2984
693	6748	2975
694	6757	2965
695	6767	2955
696	6777	2946
697	6787	2936
698	6798	2927
699	6808	2917
700	6817	2907
701	6826	2897
702	6836	2888
703	6846	2878
704	6855	2868
705	6866	2859
706	6874	2848
707	6884	2839
708	6893	2829
709	6902	2819
710	6911	2809
711	6921	2799
712	6930	2789
713	6939	2779
714	6948	2769
715	6957	2759
716	6967	2749
717	6976	2740
718	6986	2730
719	6995	2720
720	7005	2710
721	7014	2700
722	7024	2691
723	7034	2681
724	7044	2672
725	7053	2662
726	7063	2652
727	7074	2643
728	7084	2633
729	7094	2623
730	7103	2614
731	7112	2604
732	7122	2594
733	7132	2584
734	7143	2575
735	7152	2565
736	7163	2556
737	7174	2546
738	7183	2537
739	7194	2527
740	7204	2518
741	7215	2508
742	7224	2499
743	7234	2489
744	7244	2479
745	7253	2469
746	7262	2459
747	7273	2450
748	7283	2440
749	7292	2430
750	7303	2421
751	7313	2411
752	7323	2402
753	7333	2392
754	7342	2382
755	7352	2372
756	7362	2363
757	7371	2353
758	7380	2343
759	7389	2333
760	7400	2324
761	7410	2314
762	7419	2304
763	7429	2294
764	7438	2285
765	7449	2275
766	7458	2265
767	7469	2256
768	7479	2246
769	7488	2236
770	7498	2227
771	7508	2217
772	7517	2207
773	7527	2197
774	7536	2188
775	7546	2178
776	7556	2168
777	7566	2159
778	7576	2149
779	7586	2139
780	7596	2130
781	7606	2120
782	7616	2110
783	7627	2101
784	7636	2091
785	7646	2081
786	7655	2072
787	7665	2062
788	7675	2052
789	7684	2042
790	7693	2032
791	7702	2022
792	7711	2013
793	7721	2003
794	7730	1993
795	7740	1983
796	7750	1974
797	7759	1964
798	7769	1954
799	7779	1944
800	7788	1935
801	7798	1925
802	7807	1915
803	7816	1905
804	7825	1895
805	7835	1885
806	7845	1876
807	7855	1866
808	7865	1856
809	7874	1847
810	7885	1837
811	7896	1828
812	7906	1818
813	7916	1808
814	7927	1799
815	7937	1789
816	7947	1780
817	7957	1770
818	7967	1760
819	7977	1751
820	7986	1741
821	7996	1731
822	8007	1722
823	8016	1712
824	8027	1702
825	8037	1693
826	8049	1683
827	8059	1674
828	8069	1664
829	8079	1654
830	8089	1645
831	8100	1635
832	8110	1626
833	8120	1616
834	8128	1606
835	8138	1596
836	8147	1586
837	8157	1576
